source_rank,company_name,domain,api_name,field,status,reason,raw_response_path
8,SK Hynix,skhynix.com,GDELT,"Coverage depth (events per account, last 12 months)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/sk_hynix.json
9,Infosys,infosys.com,GDELT,Event headline + URL + date,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/infosys.json
9,Infosys,infosys.com,GDELT,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/infosys.json
9,Infosys,infosys.com,GDELT,Source / publisher,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/infosys.json
9,Infosys,infosys.com,GDELT,Relevance / confidence,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/infosys.json
9,Infosys,infosys.com,GDELT,"Coverage depth (events per account, last 12 months)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/infosys.json
10,BHP,bhp.com,GDELT,Event headline + URL + date,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/bhp.json
10,BHP,bhp.com,GDELT,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/bhp.json
10,BHP,bhp.com,GDELT,Source / publisher,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/bhp.json
10,BHP,bhp.com,GDELT,Relevance / confidence,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/bhp.json
10,BHP,bhp.com,GDELT,"Coverage depth (events per account, last 12 months)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/bhp.json
