source_rank,company_name,domain,api_name,event_headline,event_url,event_date,event_type,source_publisher,relevance_confidence,source_field,raw_response_path
5,Toyota Motor Corporation,global.toyota,Exa Search API,"Driven by People, Powering the Future - Toyota USA Newsroom",https://pressroom.toyota.com/driven-by-people-powering-the-future/,2026-03-23,other,pressroom.toyota.com,0.45,results.7,raw/exa/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Exa Search API,Toyota backs Japan self-driving startup Tier IV in development push - Nikkei Asia,https://asia.nikkei.com/business/automobiles/toyota-backs-japan-self-driving-startup-tier-iv-in-development-push,2026-06-09,other,asia.nikkei.com,0.45,results.8,raw/exa/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Exa Search API,Toyota Launches Strategic Investment Subsidiary and Woven Capital Fund II to Accelerate Transformation into a Mobility Company – Thailand Newswire,https://thnewswire.com/jcn-newswire/toyota-launches-strategic-investment-subsidiary-and-woven-capital-fund-ii-to-accelerate-transformation-into-a-mobility-company/,2025-09-30,funding,thnewswire.com,0.55,results.9,raw/exa/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,Exa Search API,Sony Ventures Corporation Establishes New Investment Fund; First Closing Completed; Full-Scale Investment Activities to Commence | MarketScreener,https://www.marketscreener.com/news/sony-ventures-corporation-establishes-new-investment-fund-first-closing-completed-full-scale-inves-ce7e50dfdd8ff62d,2026-04-14,funding,marketscreener.com,0.55,results.0,raw/exa/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Exa Search API,Establishment of the World’s First Global Supply Chain to Introduce the Use of Renewable Plastics in Sony’s High-Performance Products,https://www.sony.eu/presscentre/establishment-of-the-worlds-first-global-supply-chain-to-introduce-the-use-of-renewable-plastics-in-sonys-high-performance-products,2026-02-06,launch,sony.eu,0.55,results.1,raw/exa/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Exa Search API,Sony : Semiconductor Solutions Announces Preliminary Agreement with TSMC for Strategic Partnership for Next-Generation Image Sensors Filing | MarketScreener,https://www.marketscreener.com/news/sony-semiconductor-solutions-announces-preliminary-agreement-with-tsmc-for-strategic-partnership-f-ce7f5bdad08cff22,2026-05-08,partnership,marketscreener.com,0.55,results.2,raw/exa/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Exa Search API,"Sony, TCL form BRAVIA home entertainment joint venture | SONY SEC Filing - Form 6-K",https://www.stocktitan.net/sec-filings/SONY/6-k-sony-group-corp-current-report-foreign-issuer-262f73cb9b1a.html,2026-03-31,other,stocktitan.net,0.45,results.3,raw/exa/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Exa Search API,Sony Ventures Launches ‘Innovation Fund 4’ with ¥20 Billion Target; Total Assets to Surpass ¥85 Billion,https://www.fintechobserver.com/sony-ventures-launches-innovation-fund-4-with-y-20-billion-target-total-assets-to-surpass-y-85-billion/,2026-04-14,launch,fintechobserver.com,0.55,results.4,raw/exa/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Exa Search API,Sony Corp and TCL Electronics Holdings Limited Signs Definitive Agreements for Strategic Partnership in the Home Entertainment Field | MarketScreener,https://www.marketscreener.com/news/sony-corp-and-tcl-electronics-holdings-limited-signs-definitive-agreements-for-strategic-partnership-ce7e51dedc81f224,2026-03-31,partnership,marketscreener.com,0.55,results.5,raw/exa/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Exa Search API,Sony Semiconductor Solutions and TSMCEnter Preliminary Agreement forNext-Generation Image Sensor Strategic Partnership - Electronics Manufacturing News,https://www.globalsmt.net/asia-world-news/sony-semiconductor-solutions-and-tsmcenter-preliminary-agreement-fornext-generation-image-sensor-strategic-partnership/,2026-05-19,partnership,globalsmt.net,0.55,results.6,raw/exa/data/sony_group_corporation.json
